FID;tipo;id;Tipo_1;Fecha;Departamen;Municipio;Vereda;Latitud;Longitud;X;Y;class
781;noevent;id_782;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.183817773;-76.76122841;701598.4537;844207.8708;111
782;noevent;id_783;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.195922539;-76.7897986;698422.9182;845556.2105;111
783;noevent;id_784;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.18850303;-76.78079548;699422.5515;844732.2222;111
784;noevent;id_785;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.168628407;-76.77631647;699915.1901;842530.7829;111
785;noevent;id_786;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.201026702;-76.76552575;701125.2653;846114.1379;111
786;noevent;id_787;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.209114921;-76.76974235;700658.4393;847010.7346;111
787;noevent;id_788;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.232370138;-76.77395187;700196.8623;849586.3303;111
788;noevent;id_789;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.152290133;-76.76859066;700770.181;840719.9023;111
789;noevent;id_790;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.160996557;-76.7715983;700438.0038;841684.5697;111
790;noevent;id_791;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.159320365;-76.7669457;700955.2362;841497.6736;111
791;noevent;id_792;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.168326508;-76.7817143;699314.4631;842498.9289;111
